Player,Team,Date,Opponent,GS,IP,H,R,ER,BB,SO,AB,BF,2B,3B,HR,WP,HBP,BK,W,L,S
Zachary Blankenship,BB,7/15/2022,WM,0,1,1,0,0,0,0,3,3,,,,,,,,,
Nick Shaw,BB,7/15/2022,WM,0,1,1,0,0,1,1,4,5,,,,,,,,,1
Adrian Cook,WM,7/16/2022,DH,1,2,4,3,3,3,4,10,13,,,1,1,,,,1,
Christian Dearman,WM,7/16/2022,DH,0,3,3,1,1,0,1,12,12,,,,,,,,,
Andrew Verbrugge,DH,7/16/2022,WM,1,4,2,0,0,3,4,13,16,,,,1,,,1,,
Jacob Wosinski,DH,7/16/2022,WM,0,1,0,0,0,0,1,3,3,,,,,,,,,
Michael DeSanti,DH,7/16/2022,WM,0,1,0,0,0,0,0,3,3,,,,,,,,,
Collin Ledbetter,WM,7/16/2022,DH,1,4,2,1,0,2,5,15,19,,,,1,2,1,1,,
Tyler Ruetschle,WM,7/16/2022,DH,0,1,0,0,0,1,3,3,4,,,,,,,,,
Kyle Bischoff,WM,7/16/2022,DH,0,1,2,2,2,3,1,4,7,,,,1,,,,,
Carson Ferry,DH,7/16/2022,WM,1,1.2,5,7,6,5,4,10,15,1,,,1,,,,1,
Derrick Edington,DH,7/16/2022,WM,0,2.1,3,0,0,0,2,10,10,,,,,,,,,
Luke Drummond,DH,7/16/2022,WM,0,2,0,0,0,0,4,6,6,,,,,,,,,
Jacob Wosinski,DH,7/19/2022,WM,1,4,7,6,6,1,5,18,22,1,,1,1,3,,,,
Harry Orth,DH,7/19/2022,WM,0,3,2,0,0,1,2,11,12,,,,,,,1,,
Luke Drummond,DH,7/19/2022,WM,0,1,1,1,1,0,2,4,4,,,1,,,,,,1
Beau Atkins,WM,7/19/2022,DH,1,1,5,5,5,2,0,7,10,1,,,,,,,,
Donovan Thacker,WM,7/19/2022,DH,0,4.2,7,3,3,2,2,19,21,,,1,,,,,1,
Rafi Vazquez,WM,7/19/2022,DH,0,1.1,2,1,1,0,1,6,6,1,,,1,,,,,
Neil Freeman,WM,7/19/2022,DH,0,1,0,0,0,3,1,3,6,,,,,,,,,
Christian Dearman,WM,7/20/2022,BB,1,4,4,3,3,0,7,16,17,,,1,,1,,,,
Tyler Ruetschle,WM,7/20/2022,BB,0,1,2,2,2,0,2,5,5,,,2,,,,1,,
Kyle Bischoff,WM,7/20/2022,BB,0,2,0,0,0,0,3,6,6,,,,,,,,,1
Eric Sandness,BB,7/20/2022,WM,1,4,5,3,3,2,1,17,19,1,,1,1,,,,,
Zachary Blankenship,BB,7/20/2022,WM,0,1,0,0,0,0,2,3,4,,,,,1,,,,
Nick Shaw,BB,7/20/2022,WM,0,1,4,3,3,2,1,7,9,1,,1,,,,,1,
James Krick,BB,7/20/2022,WM,0,1,0,0,0,0,1,3,3,,,,,,,,,
Adam Riggleman,UU,7/21/2022,DH,1,5,4,1,1,0,6,18,20,,,1,,1,,1,,
Austin Calopietro,UU,7/21/2022,DH,0,2,1,0,0,1,3,6,7,,,,1,,,,,
Keon Taylor,UU,7/21/2022,DH,0,1,1,0,0,0,1,4,4,,,,,,,,,
Perry Bewley,UU,7/21/2022,DH,0,1,2,0,0,0,1,5,5,,,,,,,,,
Derrick Edington,DH,7/21/2022,UU,1,5,9,5,5,0,3,22,23,3,,1,,1,,,1,
Carson Ferry,DH,7/21/2022,UU,0,2,1,0,0,0,4,7,7,,,,,,,,,
Michael DeSanti,DH,7/21/2022,UU,0,0.2,3,6,5,3,1,5,9,,,,2,1,,,,
Luke Drummond,DH,7/21/2022,UU,0,1.1,0,0,0,1,2,4,6,,,,1,1,,,,
Andrew Verbrugge,DH,7/22/2022,WM,1,5,5,4,4,4,6,20,25,1,,1,1,,,,1,
Harry Orth,DH,7/22/2022,WM,0,2,3,1,1,0,1,9,9,,,,,,,,,
Luke Drummond,DH,7/22/2022,WM,0,1,0,0,0,0,0,3,3,,,,,,,,,
Collin Ledbetter,WM,7/22/2022,DH,1,7,4,2,2,1,7,24,26,,,1,1,1,,1,,
Tyler Ruetschle,WM,7/22/2022,DH,0,1,0,0,0,0,1,3,3,,,,,,,,,
Kyle Bischoff,WM,7/22/2022,DH,0,1,0,0,0,0,1,3,3,,,,,,,,,1
Zach Devon,BB,7/23/2022,UU,1,2,5,4,3,0,1,12,12,,,2,1,,,,1,
Trevor Jackson,BB,7/23/2022,UU,0,1.1,0,0,0,1,0,3,5,,,,,1,,,,
Jesse Galindo,BB,7/23/2022,UU,0,0.2,1,0,0,0,0,3,3,,,,,,,,,
James Krick,BB,7/23/2022,UU,0,1,0,2,0,4,0,3,7,,,,,,,,,
Jake Fiorito,UU,7/23/2022,BB,1,4,2,0,0,2,1,12,14,1,,,,,,1,,
Austin Calopietro,UU,7/23/2022,BB,0,1,0,0,0,1,0,2,3,,,,,,,,,
Bryan Camacho,UU,7/23/2022,BB,0,1,1,0,0,0,1,4,4,,,,,,,,,
Austin Shea,BB,7/23/2022,UU,1,2,5,1,1,0,3,10,10,,,,1,,,1,,
Eric Sandness,BB,7/23/2022,UU,0,2,2,1,1,0,3,8,8,,,1,,,,,,
Zachary Blankenship,BB,7/23/2022,UU,0,1,0,0,0,0,3,3,4,,,,,1,,,,
Nick Shaw,BB,7/23/2022,UU,0,1,3,1,1,0,3,6,6,,,,1,,,,,1
Jean Muntaner,UU,7/23/2022,BB,1,3,4,5,5,4,1,13,19,,,,1,1,,,1,
Keon Taylor,UU,7/23/2022,BB,0,1,1,0,0,0,2,4,5,,,,,1,,,,
Perry Bewley,UU,7/23/2022,BB,0,2,2,0,0,0,4,8,8,,,,1,,,,,
Rafi Vazquez,WM,7/27/2022,BB,1,6,4,1,1,2,1,20,22,1,,,,,,,1,
Beau Atkins,WM,7/27/2022,BB,0,1,5,3,3,0,2,8,8,1,,,,,,,,
Neil Freeman,WM,7/27/2022,BB,0,1,0,0,0,2,1,3,5,,,,,,,,,
Austin Shea,BB,7/27/2022,WM,1,6,1,0,0,1,6,20,21,1,,,,,,1,,
Zachary Blankenship,BB,7/27/2022,WM,0,1,1,0,0,0,2,4,4,,,,,,,,,
Jesse Galindo,BB,7/27/2022,WM,0,1,0,0,0,0,0,3,3,,,,,,,,,
Nick Shaw,BB,7/27/2022,WM,0,1,2,0,0,0,0,5,5,,,,,,,,,
Adam Riggleman,UU,7/28/2022,DH,1,5,3,1,1,2,4,18,21,,,,1,1,,,1,
Bryan Camacho,UU,7/28/2022,DH,0,1,2,1,1,1,1,5,6,,,,,,,,,
Austin Calopietro,UU,7/28/2022,DH,0,1,1,1,1,0,2,4,4,,,,1,,,,,
Perry Bewley,UU,7/28/2022,DH,0,1,1,1,0,0,1,5,5,,,,,,,,,
Derrick Edington,DH,7/28/2022,UU,1,7,3,0,0,2,6,23,25,2,,,,,,1,,
Harry Orth,DH,7/28/2022,UU,0,1,0,0,0,0,0,3,3,,,,,,,,,
Michael DeSanti,DH,7/28/2022,UU,0,1,1,2,2,2,3,4,6,,,1,,,,,,
Collin Ledbetter,WM,7/29/2022,UU,1,4,5,3,1,4,4,16,22,,,,5,1,,1,,
Tyler Ruetschle,WM,7/29/2022,UU,0,0.1,1,3,3,4,1,3,7,,,,2,,,,,
Christian Dearman,WM,7/29/2022,UU,0,1.2,0,0,0,1,2,4,5,,,,,,,,,
Kyle Bischoff,WM,7/29/2022,UU,0,1,1,0,0,0,2,4,4,,,,,,,,,1
Jake Fiorito,UU,7/29/2022,WM,1,3,5,4,4,4,0,13,17,2,,1,,,,,1,
Jean Muntaner,UU,7/29/2022,WM,0,1,1,1,1,1,1,3,6,,,,,1,,,,
Keon Taylor,UU,7/29/2022,WM,0,1,3,3,3,2,0,5,8,,,,,1,,,,
Bryan Camacho,UU,7/29/2022,WM,0,1,0,0,0,1,1,3,4,,,,,,,,,
Perry Bewley,UU,7/29/2022,WM,0,1,0,0,0,0,1,3,3,,,,,,,,,
Andrew Verbrugge,DH,7/30/2022,BB,1,4,4,2,1,0,5,17,17,2,,,,,,,1,
Michael DeSanti,DH,7/30/2022,BB,0,1,1,1,1,1,1,4,5,,,,,,,,,
Zach Devon,BB,7/30/2022,DH,1,4,2,0,0,1,4,13,14,,,,,,,1,,
Zachary Blankenship,BB,7/30/2022,DH,0,1,1,0,0,0,1,4,4,,,,,,,,,
James Krick,BB,7/30/2022,DH,0,1,2,1,1,1,0,5,6,,,,,,,,,1
Carson Ferry,DH,7/30/2022,BB,1,0.1,2,0,0,0,1,3,3,,,,1,,,,,
Harry Orth,DH,7/30/2022,BB,0,3.1,4,1,1,1,4,14,15,,,1,1,,,,,
Luke Drummond,DH,7/30/2022,BB,0,1.1,2,3,3,0,3,6,7,,,1,1,1,,,1,
Trevor Jackson,BB,7/30/2022,DH,1,3,2,3,3,4,4,11,16,,,,,1,,,,
Lyle Hibbitts,BB,7/30/2022,DH,0,2,0,0,0,1,1,7,8,,,,,,,1,,
Nick Shaw,BB,7/30/2022,DH,0,1,1,0,0,1,0,4,5,,,,,,,,,1
Austin Calopietro,UU,7/31/2022,WM,1,2,1,2,2,5,2,6,11,,,,1,,,,,
Jean Muntaner,UU,7/31/2022,WM,0,4,2,0,0,0,4,14,15,,,,1,1,,1,,
Keon Taylor,UU,7/31/2022,WM,0,1,1,0,0,0,1,4,4,1,,,,,,,,
Devin Beckley,WM,7/31/2022,UU,1,3,3,3,3,3,3,12,15,2,,,1,,,,1,
Donovan Thacker,WM,7/31/2022,UU,0,0.2,4,5,5,1,0,6,7,,,,,,,,,
Neil Freeman,WM,7/31/2022,UU,0,0.2,3,8,8,4,0,4,10,1,,1,2,1,,,,
Tyler Ruetschle,WM,7/31/2022,UU,0,0.2,0,1,1,4,1,2,6,,,,2,,,,,
Kyle Bischoff,WM,7/31/2022,UU,0,2,4,2,2,0,1,10,10,2,,,1,,,,,
Adam Riggleman,UU,8/2/2022,DH,1,3,5,9,9,3,1,13,18,1,,2,,1,,,1,
Jake Fiorito,UU,8/2/2022,DH,0,2,0,0,0,2,0,6,8,,,,,,,,,
Bryan Camacho,UU,8/2/2022,DH,0,1,1,1,1,0,1,4,4,,,1,,,,,,
Keon Taylor,UU,8/2/2022,DH,0,1,1,0,0,0,1,4,4,,,,,,,,,
Perry Bewley,UU,8/2/2022,DH,0,1,1,1,1,2,0,2,5,,,,1,,,,,
Derrick Edington,DH,8/2/2022,UU,1,5,4,1,1,2,10,19,22,,,1,,1,,1,,
Harry Orth,DH,8/2/2022,UU,0,1,2,1,1,1,0,5,6,,,,,,,,,
Donovan Thacker,DH,8/2/2022,UU,0,1,1,0,0,3,0,3,6,,,,,,,,,
Luke Drummond,DH,8/2/2022,UU,0,1,0,0,0,0,0,3,3,,,,,,,,,
Trevor Jackson,BB,8/3/2022,WM,1,6,6,3,3,1,10,23,25,,,1,1,,,,,
Zachary Blankenship,BB,8/3/2022,WM,0,1,3,3,3,2,2,6,8,,,,,,,1,,
James Krick,BB,8/3/2022,WM,0,1,1,0,0,0,1,4,4,,,,,,,,,
Nick Shaw,BB,8/3/2022,WM,0,1,0,0,0,1,1,3,4,,,,,,,,,
Rafi Vazquez,WM,8/3/2022,BB,1,3,6,5,4,0,3,15,15,1,,1,1,,,,,
Dawson Lane,WM,8/3/2022,BB,0,1,1,0,0,0,1,4,4,1,,,,,,,,
Christian Dearman,WM,8/3/2022,BB,0,1,0,0,0,0,0,3,3,,,,,,,,,
Collin Ledbetter,WM,8/3/2022,BB,0,1,0,0,0,0,1,3,3,,,,,,,,,
Tyler Ruetschle,WM,8/3/2022,BB,0,1,2,1,1,1,1,5,6,1,,,1,,,,,
Kyle Bischoff,WM,8/3/2022,BB,0,1,3,4,1,0,2,7,8,,,,1,1,,,1,
Beau Atkins,WM,8/3/2022,BB,0,1,0,0,0,0,1,3,3,,,,,,,,,
Andrew Verbrugge,DH,8/4/2022,UU,1,5,9,7,4,3,4,24,27,2,,,2,,,,1,
Donovan Thacker,DH,8/4/2022,UU,0,1,0,2,0,1,2,5,6,,,,,,,,,
Luke Drummond,DH,8/4/2022,UU,0,1,1,0,0,0,0,3,3,,,,,,,,,
Keon Taylor,UU,8/4/2022,DH,1,3,5,4,4,1,2,13,16,2,1,1,,1,,1,,
Austin Calopietro,UU,8/4/2022,DH,0,2.1,3,1,1,3,1,10,13,,1,1,,,,,,
Rey Rodriguez,UU,8/4/2022,DH,0,1.2,2,1,1,1,1,7,8,1,,,,,,,,
Jean Muntaner,UU,8/4/2022,DH,0,1,1,0,0,1,1,4,5,,,,,,,,,
Austin Shea,BB,8/5/2022,DH,1,6,6,4,4,2,7,24,26,,,,1,,,,1,
Jesse Galindo,BB,8/5/2022,DH,0,1,0,0,0,0,1,3,3,,,,,,,,,
Lyle Hibbitts,BB,8/5/2022,DH,0,1,0,0,0,0,3,3,3,,,,,,,,,
Harry Orth,DH,8/5/2022,BB,1,5,4,1,1,1,5,17,18,,,,2,,,1,,
Sam Brace,DH,8/5/2022,BB,0,2,0,0,0,0,2,6,6,,,,,,,,,
Michael DeSanti,DH,8/5/2022,BB,0,1,1,1,0,1,1,4,6,,,,,1,,,,
Luke Drummond,DH,8/5/2022,BB,0,1,1,0,0,0,1,4,4,,,,,,,,,1
Jake Fiorito,UU,8/6/2022,WM,1,4,6,4,3,1,3,18,20,2,,1,,1,,,,
Rey Rodriguez,UU,8/6/2022,WM,0,1,0,0,0,2,0,2,4,,,,,,,,,
Perry Bewley,UU,8/6/2022,WM,0,1,3,2,1,0,1,5,6,1,,1,,1,,1,,
Devin Beckley,WM,8/6/2022,UU,1,5,3,3,3,2,5,17,19,,,,,,,,,
Kyle Bischoff,WM,8/6/2022,UU,0,1,5,3,3,1,1,7,8,,,1,2,,,,,
Christian Dearman,WM,8/6/2022,UU,0,0.2,2,1,1,0,0,3,3,,,,1,,,,1,
Derrick Edington,DH,8/7/2022,BB,1,5,6,3,3,0,6,21,21,,,2,,,,1,,
Donovan Thacker,DH,8/7/2022,BB,0,1,2,1,1,0,0,5,5,1,,,,,,,,
Sam Brace,DH,8/7/2022,BB,0,1,3,0,0,1,2,5,6,,,,,,,,,
Luke Drummond,DH,8/7/2022,BB,0,1,0,0,0,0,2,3,3,,,,,,,,,
Michael DeSanti,DH,8/7/2022,BB,0,1,2,1,1,0,1,5,5,,,1,,,,,,1
Zach Devon,BB,8/7/2022,DH,1,4.1,5,6,5,3,2,18,23,1,,,2,1,,,1,
Lyle Hibbitts,BB,8/7/2022,DH,0,1.2,1,0,0,0,0,5,5,1,,,,,,,,
Zachary Blankenship,BB,8/7/2022,DH,0,1,0,0,0,0,0,3,3,,,,,,,,,
James Krick,BB,8/7/2022,DH,0,1,2,1,1,0,1,4,4,,,,1,,,,,
Nick Shaw,BB,8/7/2022,DH,0,1,0,0,0,0,1,3,3,,,,,,,,,
Dawson Lane,WM,8/9/2022,BB,1,4.2,5,3,3,5,3,17,22,,,,,,,,,
Beau Atkins,WM,8/9/2022,BB,0,1.1,1,0,0,2,1,5,7,,,,1,,,,,
Tyler Ruetschle,WM,8/9/2022,BB,0,1,1,0,0,2,2,3,5,,,,,,,,,
Kyle Bischoff,WM,8/9/2022,BB,0,0.2,1,2,2,2,1,3,5,,,,,,,,1,
Trevor Jackson,BB,8/9/2022,WM,1,4,6,4,1,2,9,18,18,1,,1,1,,,,,
Jesse Galindo,BB,8/9/2022,WM,0,2,0,0,0,1,1,4,4,,,,,1,,,,
Lyle Hibbitts,BB,8/9/2022,WM,0,2,0,0,0,3,3,5,5,,,,2,,,1,,
Jean Muntaner,UU,8/10/2022,DH,1,3,0,0,0,0,3,9,9,,,,,,,1,,
Perry Bewley,UU,8/10/2022,DH,0,1,1,0,0,0,2,4,4,,,,,,,,,
Austin Calopietro,UU,8/10/2022,DH,0,1,0,0,0,0,0,3,3,,,,,,,,,
Rey Rodriguez,UU,8/10/2022,DH,0,1,0,0,0,0,1,3,4,,,,,,,,,
Bryan Camacho,UU,8/10/2022,DH,0,1,0,0,0,0,2,3,5,,,,,,,,,
Keon Taylor,UU,8/10/2022,DH,0,2,2,0,0,0,2,7,7,,,,,,,,,
Andrew Verbrugge,DH,8/10/2022,UU,1,6,1,2,1,7,6,19,26,,,1,,,,,1,
Donovan Thacker,DH,8/10/2022,UU,0,1,0,0,0,0,0,3,3,,,,,,,,,
Sam Brace,DH,8/10/2022,UU,0,0.1,4,7,0,2,0,6,8,,,,,,,,,
Luke Drummond,DH,8/10/2022,UU,0,1.2,4,2,1,0,2,9,9,1,,1,,,,,,
Rafi Vazquez,WM,8/11/2022,BB,1,7,5,2,2,1,8,24,26,2,,,,,,1,,
Christian Dearman,WM,8/11/2022,BB,0,2,2,0,0,2,2,6,9,,,,,,,,,
Austin Shea,BB,8/11/2022,WM,1,5,5,3,3,5,8,18,24,,,,,,,,1,
Zachary Blankenship,BB,8/11/2022,WM,0,2,4,2,2,0,3,10,11,1,,,,,,,,
Lyle Hibbitts,BB,8/11/2022,WM,0,2,3,1,0,1,4,10,11,1,,,,,,,,
Collin Ledbetter,WM,8/12/2022,UU,1,6,4,2,2,3,5,22,27,,,,,2,,1,,
Tyler Ruetschle,WM,8/12/2022,UU,0,1.1,1,0,0,4,1,4,8,1,,,,,,,,
Kyle Bischoff,WM,8/12/2022,UU,0,0.2,0,0,0,0,0,2,2,,,,,,,,,1
Jake Fiorito,UU,8/12/2022,WM,1,5,3,0,0,2,3,17,19,,,,1,,,,,
Rey Rodriguez,UU,8/12/2022,WM,0,0.1,3,2,2,1,0,4,5,,,,,,,,,
Keon Taylor,UU,8/12/2022,WM,0,1.2,2,1,0,1,2,6,7,,,,,,,,1,
Austin Calopietro,UU,8/12/2022,WM,0,0.1,1,0,0,2,1,2,4,,,,,,,,,
Perry Bewley,UU,8/12/2022,WM,0,0.2,0,0,0,0,2,2,2,,,,,,,,,
James Krick,BB,8/13/2022,DH,1,1.1,5,5,5,3,0,9,13,3,,,,1,,,1,
Jesse Galindo,BB,8/13/2022,DH,0,2.2,1,0,0,0,4,10,10,,,,,,,,,
Trevor Jackson,BB,8/13/2022,DH,0,1,2,0,0,0,2,5,5,,,,,,,,,
Harry Orth,DH,8/13/2022,BB,1,5,2,0,0,0,8,17,17,,,,1,,,1,,
Donovan Thacker,DH,8/13/2022,BB,0,1,0,0,0,0,1,3,3,,,,,,,,,
Zach Devon,BB,8/13/2022,DH,1,4,2,4,4,2,3,14,18,,,,,,,,1,
Lyle Hibbitts,BB,8/13/2022,DH,0,1,2,2,1,0,2,5,5,1,,,,,,,,
Derrick Edington,DH,8/13/2022,BB,1,5,1,0,0,2,9,16,18,,,,,,,1,,
Michael DeSanti,DH,8/13/2022,BB,0,1,1,0,0,0,1,4,4,1,,,,,,,,
Adam Riggleman,UU,8/14/2022,WM,1,5,9,6,6,1,2,23,24,,,2,,,,,,
Austin Calopietro,UU,8/14/2022,WM,0,0.2,1,0,0,0,2,3,3,1,,,,,,,,
Jean Muntaner,UU,8/14/2022,WM,0,0.2,0,0,0,0,1,2,3,,,,,1,,,,
Perry Bewley,UU,8/14/2022,WM,0,1.2,2,0,0,0,2,6,7,1,,,,1,,1,,
Keon Taylor,UU,8/14/2022,WM,0,1,1,0,0,0,1,4,4,,,,,,,,,1
Brant Brown,WM,8/14/2022,UU,1,3,5,4,4,1,1,11,15,1,,1,,2,,,,
Jack Parisi,WM,8/14/2022,UU,0,4,2,1,1,2,3,13,15,1,,,,,,,,
Tyler Ruetschle,WM,8/14/2022,UU,0,1,1,0,0,0,2,4,4,,,,,,,,,
Kyle Bischoff,WM,8/14/2022,UU,0,1,2,2,1,1,1,5,6,,,,,,,,1,
Jesse Galindo,BB,8/16/2022,WM,1,6,2,0,0,1,3,19,21,,,,,1,,1,,
Lyle Hibbitts,BB,8/16/2022,WM,0,1,0,0,0,0,1,3,3,,,,,,,,,
Zachary Blankenship,BB,8/16/2022,WM,0,1,1,0,0,0,0,4,4,,,,,,,,,
James Krick,BB,8/16/2022,WM,0,1,0,0,0,0,1,3,3,,,,,,,,,1
Dawson Lane,WM,8/16/2022,BB,1,6.1,5,3,3,1,4,24,25,1,,1,,,,,1,
Brant Brown,WM,8/16/2022,BB,0,2.2,4,0,0,0,4,11,11,,,,,,,,,
Austin Calopietro,UU,8/17/2022,DH,1,2,4,1,1,1,2,10,11,,,,,,,,,
Jake Fiorito,UU,8/17/2022,DH,0,3,3,4,4,3,2,12,16,,,1,1,,,,,
Perry Bewley,UU,8/17/2022,DH,0,1,2,0,0,0,1,5,5,,,,,,,,,
Rey Rodriguez,UU,8/17/2022,DH,0,1,0,0,0,0,1,3,3,,,,,,,,,
Keon Taylor,UU,8/17/2022,DH,0,1.1,3,1,1,1,1,7,9,1,,,,1,,,1,
Andrew Verbrugge,DH,8/17/2022,UU,1,7,3,1,1,1,9,23,26,,,,,2,,,,
Donovan Thacker,DH,8/17/2022,UU,0,0.2,3,4,4,1,1,4,7,,,,,1,,,,
Luke Drummond,DH,8/17/2022,UU,0,1.1,1,0,0,0,2,5,6,,,,,1,,1,,
Rafi Vazquez,WM,8/18/2022,UU,1,2,8,8,5,1,1,14,16,,,1,,,,,,
Christian Dearman,WM,8/18/2022,UU,0,3,4,1,1,2,4,12,16,1,,,,2,,,,
Kyle Bischoff,WM,8/18/2022,UU,0,2,1,0,0,0,2,7,7,,,,,,,1,,
Tyler Ruetschle,WM,8/18/2022,UU,0,1,1,1,1,1,1,4,5,,,1,,,,,,1
Jean Muntaner,UU,8/18/2022,WM,1,3.1,8,8,6,3,4,18,24,,,,2,2,,,,
Lyle Hibbitts,BB,8/18/2022,WM,0,2.2,0,0,0,0,4,9,9,,,,1,,,,,
Perry Bewley,UU,8/18/2022,WM,0,1,2,4,4,2,2,6,8,1,1,,,,,,1,
Sam Brace,DH,8/18/2022,WM,0,1,0,0,0,2,2,3,5,,,,,,,,,
Derrick Edington,DH,8/19/2022,UU,1,5,4,3,3,3,8,19,22,,,,,,,,1,
Donovan Thacker,DH,8/19/2022,UU,0,2,0,0,0,0,1,6,6,,,,,,,,,
Michael DeSanti,DH,8/19/2022,UU,0,1,1,2,2,1,0,4,5,,,1,,,,,,
Adam Riggleman,UU,8/19/2022,DH,1,7,2,0,0,2,5,22,24,1,,,,,,1,,
Keon Taylor,UU,8/19/2022,DH,0,2,1,1,1,1,0,6,8,,,,,,,,,1
Trevor Jackson,BB,8/20/2022,WM,1,5,1,1,1,2,3,16,18,,,1,,,,1,,
James Krick,BB,8/20/2022,WM,0,1,0,0,0,0,2,3,3,,,,,,,,,1
Collin Ledbetter,WM,8/20/2022,BB,1,6,5,3,2,3,2,24,28,,,,,1,,,1,
Austin Shea,BB,8/20/2022,WM,1,4,2,2,2,0,9,14,14,,,1,,,,,,
Zach Devon,BB,8/20/2022,WM,0,1,1,0,0,0,2,4,4,1,,,,,,1,,
Nick Shaw,BB,8/20/2022,WM,0,1,1,0,0,0,1,4,5,,,,,1,,,,1
Jack Parisi,WM,8/20/2022,BB,1,5,3,2,1,3,4,17,21,,,,,,,,,
Tyler Ruetschle,WM,8/20/2022,BB,0,1,1,1,1,1,2,4,5,1,,,1,,,,1,
Jake Fiorito,UU,8/21/2022,DH,1,2,2,1,1,2,2,8,10,,,,,,,1,,
Jean Muntaner,UU,8/21/2022,DH,0,2,1,0,0,3,1,8,12,,,,1,1,,,,
Alex Reinoehl,UU,8/21/2022,DH,0,1,1,0,0,0,0,4,4,,,,,,,,,
Austin Calopietro,UU,8/21/2022,DH,0,1,0,0,0,1,1,3,4,,,,,,,,,
Perry Bewley,UU,8/21/2022,DH,0,1,0,0,0,1,1,3,4,,,,1,,,,,
Keon Taylor,UU,8/21/2022,DH,0,1,1,0,0,0,3,4,4,,,,,,,,,
Harry Orth,DH,8/21/2022,UU,1,6,9,5,5,1,2,26,27,2,,1,,,,,1,
Sam Brace,DH,8/21/2022,UU,0,0.1,1,3,3,1,0,2,4,1,,,1,1,,,,
Luke Drummond,DH,8/21/2022,UU,0,0.2,2,1,1,0,0,4,4,1,,,,,,,,
Michael DeSanti,DH,8/21/2022,UU,0,1,0,0,0,0,1,3,4,,,,,1,,,,
Rafi Vazquez,WM,8/24/2022,UU,1,3,2,0,0,0,2,10,10,,,,,,,1,,
Dawson Lane,WM,8/24/2022,UU,0,3.1,0,0,0,1,7,11,12,,,,,,,,,
Brant Brown,WM,8/24/2022,UU,0,1.2,4,1,1,0,1,9,9,,,,1,,,,,
Kyle Bischoff,WM,8/24/2022,UU,0,1,1,0,0,0,0,3,3,,,,,,,,,1
Jean Muntaner,UU,8/24/2022,WM,1,3,3,1,1,4,2,12,17,2,,,,1,,,1,
Austin Calopietro,UU,8/24/2022,WM,0,2,0,1,1,3,1,5,8,,,,,,1,,,
Alex Reinoehl,UU,8/24/2022,WM,0,1,2,1,1,0,1,5,5,,,,,,,,,
Keon Taylor,UU,8/24/2022,WM,0,2,1,0,0,0,3,7,7,,,,,,,,,
Perry Bewley,UU,8/24/2022,WM,0,1,0,0,0,1,1,2,3,,,,,,,,,
Andrew Verbrugge,DH,8/25/2022,BB,1,6,3,4,4,5,7,21,26,2,,1,1,,1,1,,
Donovan Thacker,DH,8/25/2022,BB,0,1,0,0,0,1,1,4,5,,,,,,,,,
Sam Brace,DH,8/25/2022,BB,0,0.2,2,3,3,3,0,4,7,,,1,2,,,,,
Luke Drummond,DH,8/25/2022,BB,0,0.1,0,0,0,0,0,1,2,,,,,1,,,,1
Zach Devon,BB,8/25/2022,DH,1,4,7,6,6,1,6,18,21,1,,1,1,1,,,1,
Jesse Galindo,BB,8/25/2022,DH,0,2,7,5,5,3,1,10,14,,,,,,,,,
Zachary Blankenship,BB,8/25/2022,DH,0,2,1,0,0,0,2,7,7,1,,,,,,,,
Austin Shea,BB,8/26/2022,UU,1,2,6,5,4,5,2,11,17,1,,,1,,,,1,
Lyle Hibbitts,BB,8/26/2022,UU,0,3,4,3,3,2,3,12,15,1,,1,2,,,,,
Zachary Blankenship,BB,8/26/2022,UU,0,1,3,0,0,0,2,6,6,,,,,,,,,
Nick Shaw,BB,8/26/2022,UU,0,1,0,0,0,1,2,3,4,,,,,,,,,
James Krick,BB,8/26/2022,UU,0,1,0,0,0,1,1,3,4,,,,1,,,,,
Adam Riggleman,UU,8/26/2022,BB,1,7,2,0,0,0,4,24,24,,,,,,,1,,
Perry Bewley,UU,8/26/2022,BB,0,1,2,0,0,1,0,4,5,,,,,,,,,
Keon Taylor,UU,8/26/2022,BB,0,1,0,0,0,0,2,3,3,,,,,,,,,
Collin Ledbetter,WM,8/27/2022,DH,1,3.2,4,5,5,3,3,13,19,2,,,1,2,,,1,
Dawson Lane,WM,8/27/2022,DH,0,1.1,0,0,0,0,2,3,3,,,,,,,,,
Harry Orth,DH,8/27/2022,WM,1,5,3,2,2,2,4,17,20,,,,,1,,1,,
Carson Ferry,DH,8/27/2022,WM,0,1,0,0,0,0,1,3,3,,,,,,,,,1
Jack Parisi,WM,8/27/2022,DH,1,5,5,3,3,0,4,19,20,2,,1,,1,,1,,
Christian Dearman,WM,8/27/2022,DH,0,1,0,0,0,0,1,3,3,,,,,,,,,1
Derrick Edington,DH,8/27/2022,WM,1,4,2,5,5,3,3,13,18,2,,,,1,,,1,
Donovan Thacker,DH,8/27/2022,WM,0,1,0,0,0,1,0,3,4,,,,,,,,,
Luke Drummond,DH,8/27/2022,WM,0,1,0,0,0,1,1,3,4,,,,,,,,,
Jesse Galindo,BB,8/28/2022,UU,1,2,6,3,2,0,1,12,12,3,,1,,,,,1,
Austin Shea,BB,8/28/2022,UU,0,1.2,2,4,4,3,2,7,12,1,,,,2,,,,
Zach Devon,BB,8/28/2022,UU,0,1.1,1,1,1,0,0,5,5,,,1,,,,,,
James Krick,BB,8/28/2022,UU,0,2,1,0,0,0,4,7,7,,,,,,,,,
